project_number,donor_name,agency_name,recipient_name,year,usd_commitment,usd_disbursement,project_title,short_description,long_description
999Y3H,Australia,Australian Government,Bangladesh,1999,0.120991,0.144544,CHILD RIGHTS PROMOTION THROUGH BIRTH REG,CHILD RIGHTS PROMOTION THROUGH BIRTH REG.,Child Rights Promotion through Birth RegistrationRegistration of birth is the State's first acknowledgment of a child's existence it represents recognition of a child's significance to the country and of his or her status under the law.  This  ticket
BGD-00/363,Norway,Norwegian Agency for Development Co-operation,Bangladesh,2000,0.00261462,,BIRTH REGISTRATION PROJECT,BIRTH REGISTRATION PROJECT,
BGD-00/333,Norway,Norwegian Agency for Development Co-operation,Bangladesh,2000,0.00886696,,BIRTH REGISTRATION PROJECT,BIRTH REGISTRATION PROJECT,
BGD-00/318,Norway,Norwegian Agency for Development Co-operation,Bangladesh,2000,0.000954904,,BIRTH REGISTRATION PROJECT,BIRTH REGISTRATION PROJECT,
SRV-00/310,Norway,Norwegian Agency for Development Co-operation,Viet Nam,2000,0.0283623,,SEMINAR ON POPULATION REGISTER SYST,SEMINAR ON POPULATION REGISTER SYSTEM,
RWA98P043374,UNFPA,UNFPA,Rwanda,2001,0.09418,0.09418,SNIP,REINFORCEMENT OF NATIONAL SERVICE STATISTCS/CIVIL REGISTRATION,REINFORCEMENT OF NATIONAL SERVICE STATISTCS/CIVIL REGISTRATI     //////   COMPONENTS = FAMILY PLANNING: % ; REPRODUCTIVE HEALTH: % ; HIV/AIDS: % ; BASIC RESEARCH IN REPROD. HEALTH: 100%
STP99P053374,UNFPA,UNFPA,Sao Tome and Principe,2001,0.032335,0.032335,2001 CENSUS & VITAL EVENTS,POPULATION POLICY AND ADMIN. MGMT,SUPPORT TO 2001 POP & HOUSING CENSUS/PROCESS.VITAL EVENTS DATA     //////   COMPONENTS = FAMILY PLANNING: % ; REPRODUCTIVE HEALTH: % ; HIV/AIDS: % ; BASIC RESEARCH IN REPROD. HEALTH: 100%
STP99P053399,UNFPA,UNFPA,Sao Tome and Principe,2001,0.088419,0.088419,2001 CENSUS & VITAL EVENTS,POP & HOUSING CENSUS/PROCESS. VITAL EVENTS DATA,SUPPORT TO 2001 POP & HOUSING CENSUS/PROCESS.VITAL EVENTS DATA     //////   COMPONENTS = FAMILY PLANNING: % ; REPRODUCTIVE HEALTH: % ; HIV/AIDS: % ; BASIC RESEARCH IN REPROD. HEALTH: 100%
UGA-02/161,Norway,Norwegian Agency for Development Co-operation,Uganda,2002,1.25225,0.626127,BIRTH REGISTRATION,BIRTH REGISTRATION,SUPPORT TO UNICEFS BIRTH REGISTRATION PROJECT. OBJECTIVE OF THE UNICEF PROGRAMME ON BIRTH AND DEATH REGISTRATION IS TO HAVE ALL UGANDAN CHILDREN REGISTERED UPON BIRTH WITH NAME AND NATIONALITY.  TO ACHIEVE THIS UNICEF WILL SUPPORT THE GOVERNMENT OF UGANDA
STP99P053399,UNFPA,UNFPA,Sao Tome and Principe,2002,3e-06,3e-06,2001 CENSUS & VITAL EVENTS,POPULATION POLICY AND ADMIN. MGMT,SUPPORT TO 2001 POP & HOUSING CENSUS/PROCESS.VITAL EVENTS DATA     //////   COMPONENTS = FAMILY PLANNING: % ; REPRODUCTIVE HEALTH: % ; HIV/AIDS: % ; BASIC RESEARCH IN REPROD. HEALTH: 100%
